Open1,High1,Low1,Close1,Volume1,Open2,High2,Low2,Close2,Volume2,Open3,High3,Low3,Close3,Volume3,Open4,High4,Low4,Close4,Volume4,Open5,High5,Low5,Volume5,CloseWeek,Updown
2.68,2.75,2.62,2.68,82754,2.65,2.71,2.57,2.6,84831,2.65,2.88,2.64,2.88,84188,3.08,3.25,2.89,3.03,529036,3.08,3.25,3.03,697329,3.1,1
0.11,0.11,0.1,0.11,94849,0.11,0.11,0.098,0.098,406898,0.094,0.095,0.087,0.087,401262,0.1,0.22,0.099,0.125,3463738,0.185,0.185,0.145,1406659,0.165,1
0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0,0.001,0.008,0.001,0.008,81495,0.007,0.008,0.007,25000,0.008,1
0.105,0.11,0.1,0.1,682295,0.105,0.105,0.097,0.097,250441,0.098,0.11,0.098,0.1,142241,0.1,0.1,0.095,0.095,477900,0.096,0.1,0.096,138223,0.1,2
0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0,0.03,2
0.038,0.038,0.038,0.038,50000,0.038,0.038,0.038,0.038,0,0.038,0.038,0.038,0.038,0,0.038,0.038,0.038,0.038,0,0.038,0.038,0.038,0,0.038,2
0.25,0.25,0.25,0.25,50000,0.22,0.25,0.21,0.21,80330,0.22,0.22,0.22,0.22,52300,0.21,0.21,0.21,0.21,30000,0.21,0.21,0.21,0,0.21,2
0.032,0.033,0.031,0.031,1649424,0.031,0.031,0.03,0.031,3145608,0.045,0.08,0.042,0.043,139884323,0.043,0.043,0.034,0.035,13835679,0.036,0.041,0.036,7424111,0.038,1
0.1,0.1,0.097,0.097,96215,0.1,0.13,0.1,0.1,63992,0.105,0.105,0.105,0.105,2800,0.115,0.12,0.115,0.12,120900,0.1,0.125,0.1,150000,0.125,1
0.17,0.17,0.165,0.165,26076,0.16,0.16,0.155,0.155,46270,0.16,0.16,0.145,0.15,281130,0.15,0.165,0.15,0.165,143711,0.16,0.16,0.16,74795,0.16,2
0.054,0.054,0.054,0.054,0,0.105,0.12,0.08,0.093,43127205,0.095,0.125,0.094,0.125,24042725,0.135,0.142,0.12,0.125,11809874,0.125,0.13,0.11,3820840,0.125,1
0.945,0.99,0.945,0.99,64046,1.04,1.1,1.04,1.075,2395240,1.08,1.08,1.025,1.045,44365,1.055,1.065,1.03,1.05,64269,1.04,1.045,1.02,7759,1.045,1
0.012,0.012,0.012,0.012,0,0.012,0.012,0.012,0.012,0,0.012,0.012,0.012,0.012,0,0.012,0.012,0.012,0.012,0,0.012,0.012,0.012,0,0.012,2
0.046,0.046,0.045,0.045,1184216,0.046,0.046,0.044,0.045,2829803,0.045,0.045,0.044,0.044,2809867,0.045,0.045,0.043,0.044,5067970,0.045,0.046,0.044,1472780,0.045,2
1.24,1.24,1.15,1.18,1469456,1.17,1.17,1.115,1.115,1179542,1.2,1.23,1.155,1.18,1121423,1.185,1.19,1.15,1.15,324908,1.15,1.175,1.13,336323,1.15,2
0.005,0.005,0.005,0.005,14217953,0.005,0.005,0.005,0.005,14159362,0.005,0.005,0.004,0.005,23994072,0.005,0.005,0.004,0.004,2816222,0.005,0.005,0.004,7333377,0.005,2
0.075,0.081,0.075,0.079,1801433,0.079,0.079,0.064,0.07,2856217,0.071,0.077,0.068,0.068,437580,0.07,0.07,0.066,0.068,553303,0.07,0.07,0.064,744399,0.064,2
0.078,0.078,0.078,0.078,0,0.078,0.078,0.078,0.078,0,0.078,0.078,0.078,0.078,0,0.078,0.078,0.078,0.078,0,0.078,0.078,0.078,0,0.078,2
0.095,0.1,0.09,0.09,34700,0.09,0.09,0.09,0.09,0,0.09,0.09,0.09,0.09,15172,0.099,0.1,0.099,0.1,200217,0.11,0.115,0.11,22300,0.115,1
0.45,0.45,0.43,0.43,3229,0.425,0.425,0.42,0.42,10752,0.45,0.45,0.45,0.45,2100,0.6,0.6,0.6,0.6,1000,0.6,0.6,0.6,0,0.6,1
0.029,0.029,0.029,0.029,0,0.029,0.029,0.029,0.029,0,0.029,0.029,0.029,0.029,0,0.029,0.029,0.029,0.029,0,0.029,0.029,0.029,0,0.029,2
0.155,0.16,0.155,0.155,35400,0.155,0.155,0.155,0.155,11585,0.155,0.155,0.155,0.155,0,0.14,0.14,0.135,0.135,217835,0.14,0.14,0.135,37565,0.135,2
0.36,0.39,0.335,0.35,183816,0.35,0.35,0.34,0.345,71487,0.34,0.35,0.32,0.32,284064,0.34,0.34,0.325,0.325,213195,0.325,0.325,0.32,98933,0.325,2
100.37,100.42,99.5,99.98,57422,99.22,99.73,98.95,99.35,16354,100.4,101.19,100.3,101.19,22864,101.84,101.84,100.13,100.33,306528,100.86,101.05,100.32,17981,100.59,1
0.79,0.79,0.755,0.755,108570,0.765,0.77,0.75,0.755,125007,0.8,0.8,0.8,0.8,10000,0.785,0.79,0.775,0.79,10596,0.775,0.795,0.77,34085,0.78,2
