GroupNumber,GroupUnit,GroupSkill1,GroupSkill2,GroupSkill3,GroupSkill4,GroupPreference1,GroupPreference2,GroupPreference3,ProjectNumber,ProjectUnit,ProjectSkill1,ProjectSkill2,ProjectSkill3,ProjectSkill4,ProjectPreference1,ProjectPreference2,ProjectPreference3,Allocated
0,10004,cad,vue.js,javascript,sdn,41,13,26,0,9785,xml,hardware engineering,opensource concepts,opensource concepts,39,7,6,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,1,11522,database design,matlab,cad,3d printing,24,35,9,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,2,9786,matlab,genetic algorithms,c,matlab,10,33,15,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,3,11522,research,express,kotlin,statistical analysis,31,32,35,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,4,10005,database administration,ejs,web development,sdn,29,0,17,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,5,10004,research,ui design,analysis,vue.js,0,6,33,1
0,10004,cad,vue.js,javascript,sdn,41,13,26,6,9785,r,sql server,project management ,swift,37,34,34,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,7,10004,electrical engineering,opensource concepts,wordpress,research,37,12,16,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,8,10004,swift,mobile app development,neural networks,angular,27,17,23,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,9,10098,xml,github,mongodb,python,26,1,32,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,10,10098,sql server,android studio,analysis,analysis,18,0,36,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,11,10005,web development,sdn,web development,github,31,10,6,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,12,10098,ejs,project management ,mongodb,matlab,28,39,6,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,13,10005,database administration,application development ,angular,rest,23,35,31,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,14,10098,mobile app development,mobile app development,node.js,robotics,28,12,17,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,15,9785,vue.js,research,database administration,xml,40,28,16,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,16,9786,sdn,xml,software development,sql server,38,1,34,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,17,9786,c++,application development ,3d printing,express,4,21,18,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,18,10098,rest,ui design,project management ,scripting,1,11,17,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,19,10005,rest,swift,sql server,xml,24,14,16,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,20,10004,opensource concepts,community engagement ,statistical analysis,electrical engineering,33,35,34,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,21,11522,robotics,saas,genetic algorithms,web development,23,7,14,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,22,10098,wordpress,mobile app development,hardware engineering,scripting,1,18,11,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,23,11522,community engagement ,opensource concepts,rest,sql server,29,16,32,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,24,10098,hardware engineering,cad,swift,database administration,32,38,20,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,25,10098,ejs,css,genetic algorithms,cad,23,19,17,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,26,10098,asp.net,3d printing,mysql,database administration,5,17,10,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,27,9786,research,application development ,rest,cad,20,31,36,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,28,10004,scripting,rest,robotics,mongodb,21,35,7,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,29,10098,web development,qualitative research skills,android studio,saas,39,36,17,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,30,10005,ui design,software development,c,cloud computing solutions ,25,3,12,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,31,9786,linux,project management,c#,linear algebra,20,21,5,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,32,10098,rest,robotics,javascript,research,21,24,1,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,33,10098,express,statistical analysis,ui design,3d printing,21,22,9,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,34,9785,mongodb,qualitative research skills,wordpress,xml,2,36,4,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,35,10004,3d printing,research,machine learning,perl,16,12,25,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,36,11522,project management,mongodb,database administration,express,8,39,0,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,37,9786,genetic algorithms,ui design,neural networks,neural networks,37,34,8,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,38,11522,saas,web development,sql server,javascript,13,19,31,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,39,9786,express,business analytics ,linux,cloud computing solutions ,1,35,17,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,40,9785,data visualization,project management,mobile app development,project management,3,40,6,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,41,9785,asp.net,electrical engineering,angular,sdn,1,17,34,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,42,9786,database design,angular,saas,c++,28,37,11,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,43,10004,sdn,r,sql server,opensource concepts,10,3,19,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,44,11522,css,ejs,cloud computing solutions ,electrical engineering,35,28,31,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,45,9786,ui design,ejs,css,statistical analysis,9,9,21,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,46,9786,c#,3d printing,python,data visualization,11,11,25,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,47,10004,mysql,mobile app development,database design,python,19,39,16,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,48,10098,mobile app development,xml,statistical analysis,vue.js,10,0,40,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,49,9785,wordpress,database administration,html,asp.net,14,7,2,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,50,11522,machine learning,qualitative research skills,project management,c,19,17,32,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,51,10098,genetic algorithms,mysql,javascript,statistical analysis,33,40,34,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,52,9785,kotlin,scripting,sql server,node.js,5,3,24,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,53,10005,cam,vue.js,github,sql server,39,22,38,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,54,9786,hardware engineering,scripting,vue.js,business analytics ,39,33,15,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,55,9785,project management,node.js,neural networks,saas,38,7,22,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,56,11522,xml,database administration,3d printing,opensource concepts,8,31,7,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,57,10005,data visualization,cam,swift,swift,17,25,4,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,58,9786,agile development,web development,github,electrical engineering,33,10,38,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,59,9785,ui design,vue.js,c,qualitative research skills,5,13,32,0
0,10004,cad,vue.js,javascript,sdn,41,13,26,60,10098,database administration,application development ,sql server,cam,24,29,34,0
