GroupNumber,GroupUnit,GroupSkill1,GroupSkill2,GroupSkill3,GroupSkill4,GroupPreference1,GroupPreference2,GroupPreference3,ProjectNumber,ProjectUnit,ProjectSkill1,ProjectSkill2,ProjectSkill3,ProjectSkill4,ProjectPreference1,ProjectPreference2,ProjectPreference3,Allocated
0,11522,mobile app development,python,mobile app development,writing,1,4,8,0,10098,database design,angular,application development ,genetic algorithms,34,38,35,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,1,10004,analysis,cloud computing solutions ,database design,linear algebra,0,3,7,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,2,9786,c,perl,database design,statistical analysis,10,6,19,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,3,10005,vue.js,machine learning,sdn,swift,9,40,9,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,4,10004,software development,business analytics ,cloud computing solutions ,statistical analysis,24,25,27,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,5,10004,css,vue.js,hardware engineering,perl,17,12,32,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,6,11522,machine learning,kotlin,css,c++,31,7,30,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,7,10005,ui design,machine learning,linear algebra,android studio,14,5,37,0
0,11522,mobile app development,python,mobile app development,writing,1,4,8,8,11522,perl,electrical engineering,research,scripting,24,35,29,1
0,11522,mobile app development,python,mobile app development,writing,1,4,8,9,9786,c,rest,python,3d printing,1,36,15,0
1,9786,statistical analysis,c#,mysql,kotlin,2,3,2,0,10098,database design,angular,application development ,genetic algorithms,34,38,35,0
1,9786,statistical analysis,c#,mysql,kotlin,2,3,2,1,10004,analysis,cloud computing solutions ,database design,linear algebra,0,3,7,0
1,9786,statistical analysis,c#,mysql,kotlin,2,3,2,2,9786,c,perl,database design,statistical analysis,10,6,19,1
1,9786,statistical analysis,c#,mysql,kotlin,2,3,2,3,10005,vue.js,machine learning,sdn,swift,9,40,9,0
