Group Number,Group Unit,Group Skills,Group Preferences,Project Number,Project Units,Project Skills,Project Preferences,Allocated
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,0,10098 9785,agile development analysis perl github python mobile app development,42 35 27,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,1,10004 9785,javascript matlab sdn writing asp.net wordpress,28 42 0,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,2,9786 10098,database administration angular community engagement  statistical analysis c statistical analysis,14 6 17,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,3,10098 9786,ejs community engagement  hardware engineering writing genetic algorithms database administration,1 38 45,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,4,9785 11522,css javascript scripting mysql hardware engineering data visualization,7 9 11,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,5,9786 10098,ui design ejs sql server application development  qualitative research skills writing,8 47 29,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,6,11522 10098,cad database design node.js express python perl,22 41 46,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,7,9785 10004,cloud computing solutions  sql server analysis community engagement  agile development 3d printing,9 26 39,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,8,10098 10005,scripting kotlin cad rest database administration sdn,26 43 15,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,9,10005 10098,c linear algebra asp.net software development swift cad,17 40 40,0
0,9786,opensource concepts application development  opensource concepts opensource concepts 3d printing opensource concepts mobile app development cad,15 44 51,10,10098 10005,database design analysis software development c# c c,4 15 36,0
