GroupNumber,GroupUnit,GroupSkill1,GroupSkill2,GroupSkill3,GroupSkill4,GroupPreference1,GroupPreference2,GroupPreference3,ProjectNumber,ProjectUnit,ProjectSkill1,ProjectSkill2,ProjectSkill3,ProjectSkill4,ProjectPreference1,ProjectPreference2,ProjectPreference3,Allocated
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,0,10005,kotlin,writing,project management,vue.js,38,27,28,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,1,10005,kotlin,mongodb,sql server,analysis,33,34,15,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,2,9785,sdn,writing,swift,mysql,28,17,6,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,3,10098,angular,c,electrical engineering,mysql,2,26,23,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,4,10004,project management,rest,cam,scripting,39,8,18,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,5,10005,software development,css,cad,kotlin,29,3,6,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,6,10098,business analytics ,python,wordpress,r,0,30,38,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,7,10098,matlab,community engagement ,scripting,wordpress,12,18,0,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,8,9785,rest,robotics,cam,database administration,38,34,7,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,9,10004,cloud computing solutions ,database design,asp.net,matlab,19,20,38,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,10,10098,rest,sql server,project management ,cloud computing solutions ,23,11,22,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,11,10004,c++,mysql,perl,javascript,12,25,5,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,12,11522,cam,analysis,linear algebra,asp.net,36,2,4,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,13,10005,ejs,perl,rest,project management,2,25,17,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,14,9786,business analytics ,angular,linux,c#,10,40,38,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,15,9785,cloud computing solutions ,android studio,cam,python,15,1,21,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,16,10005,data visualization,xml,python,css,25,35,3,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,17,10004,saas,rest,wordpress,application development ,12,30,31,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,18,9786,c++,sql server,project management ,scripting,2,5,22,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,19,10005,robotics,wordpress,hardware engineering,database design,18,38,30,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,20,10098,rest,writing,perl,genetic algorithms,32,16,1,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,21,9786,mobile app development,swift,angular,ui design,29,37,13,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,22,9786,hardware engineering,research,mobile app development,linear algebra,40,37,27,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,23,9785,cad,research,github,business analytics ,34,40,23,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,24,10004,xml,c,community engagement ,saas,37,31,12,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,25,9785,opensource concepts,robotics,project management ,ui design,18,40,38,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,26,10004,ejs,opensource concepts,analysis,javascript,5,0,26,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,27,11522,swift,cam,analysis,mysql,26,19,21,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,28,10005,ejs,linear algebra,cloud computing solutions ,database design,25,18,0,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,29,10004,software development,ui design,asp.net,hardware engineering,13,26,31,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,30,9785,sdn,perl,cad,qualitative research skills,12,30,27,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,31,10004,ui design,perl,project management,rest,12,20,22,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,32,9785,software development,hardware engineering,linear algebra,robotics,11,39,13,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,33,10005,mysql,angular,business analytics ,angular,35,2,17,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,34,10005,analysis,database administration,vue.js,matlab,15,33,3,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,35,9786,community engagement ,qualitative research skills,business analytics ,python,9,34,22,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,36,10098,python,data visualization,vue.js,r,22,37,35,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,37,10004,qualitative research skills,hardware engineering,web development,linux,36,11,27,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,38,10005,project management ,cloud computing solutions ,html,database design,22,1,23,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,39,10005,matlab,web development,data visualization,css,10,39,30,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,40,9786,opensource concepts,perl,c#,linux,10,29,24,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,41,10004,neural networks,qualitative research skills,database administration,mobile app development,5,29,27,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,42,10005,data visualization,angular,3d printing,analysis,28,2,40,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,43,10005,agile development,xml,cloud computing solutions ,xml,34,6,28,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,44,10098,xml,python,perl,express,10,2,27,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,45,9786,kotlin,hardware engineering,rest,business analytics ,3,25,22,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,46,11522,analysis,javascript,3d printing,matlab,14,3,23,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,47,9786,genetic algorithms,genetic algorithms,mysql,rest,16,27,17,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,48,10098,c++,genetic algorithms,research,neural networks,19,8,14,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,49,9786,database administration,database administration,web development,angular,0,7,39,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,50,9785,research,robotics,project management,swift,30,31,12,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,51,9786,web development,android studio,opensource concepts,scripting,4,4,33,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,52,10005,sdn,opensource concepts,saas,genetic algorithms,28,1,31,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,53,9786,machine learning,javascript,qualitative research skills,ejs,3,29,8,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,54,11522,linear algebra,mongodb,statistical analysis,c,19,14,34,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,55,9786,android studio,sdn,angular,cloud computing solutions ,7,2,22,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,56,11522,mysql,rest,swift,ui design,35,13,19,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,57,9785,matlab,node.js,github,ejs,2,37,3,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,58,10005,research,research,asp.net,database administration,28,10,32,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,59,9785,writing,hardware engineering,database administration,electrical engineering,15,22,10,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,60,9785,xml,mysql,analysis,qualitative research skills,26,32,40,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,61,9785,saas,opensource concepts,linux,community engagement ,3,39,40,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,62,11522,angular,qualitative research skills,vue.js,xml,29,7,1,1
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,63,10098,android studio,xml,angular,database administration,7,33,23,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,64,11522,kotlin,matlab,r,database design,4,31,14,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,65,9786,database design,rest,node.js,writing,2,23,27,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,66,9785,angular,cad,writing,ejs,29,12,30,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,67,11522,css,express,project management ,linux,32,21,37,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,68,9785,express,3d printing,rest,c#,36,34,23,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,69,11522,asp.net,xml,ejs,c++,40,29,22,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,70,10098,qualitative research skills,electrical engineering,xml,machine learning,24,34,4,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,71,10004,genetic algorithms,web development,python,qualitative research skills,20,9,14,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,72,11522,sdn,robotics,angular,project management ,4,39,19,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,73,10098,robotics,c#,c#,mobile app development,38,18,32,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,74,10005,xml,cam,project management,node.js,38,38,30,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,75,10005,mongodb,sql server,github,scripting,37,5,31,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,76,9786,r,robotics,javascript,research,21,8,16,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,77,9785,kotlin,sdn,community engagement ,project management,39,13,25,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,78,9786,statistical analysis,qualitative research skills,html,sdn,35,27,24,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,79,11522,node.js,mysql,swift,web development,20,28,35,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,80,10005,cad,scripting,community engagement ,angular,27,8,24,0
0,11522,rest,qualitative research skills,electrical engineering,wordpress,62,53,47,81,11522,ejs,linux,opensource concepts,electrical engineering,32,23,33,0
