GroupNumber,GroupUnit,GroupSkill1,GroupSkill2,GroupSkill3,GroupSkill4,GroupPreference1,GroupPreference2,GroupPreference3,ProjectNumber,ProjectUnit,ProjectSkill1,ProjectSkill2,ProjectSkill3,ProjectSkill4,ProjectPreference1,ProjectPreference2,ProjectPreference3,Allocated
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,0,10004,database design,xml,ui design,github,11,7,36,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,1,10004,application development ,cad,statistical analysis,linux,40,2,40,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,2,10098,agile development,express,cam,electrical engineering,12,15,19,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,3,9785,hardware engineering,ui design,sdn,mongodb,26,40,18,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,4,10005,application development ,rest,ui design,sql server,34,36,33,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,5,10098,wordpress,kotlin,c,asp.net,37,13,16,1
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,6,9786,linear algebra,matlab,application development ,asp.net,40,23,26,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,7,9786,javascript,linear algebra,saas,perl,10,14,24,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,8,10005,community engagement ,android studio,ui design,wordpress,37,26,32,0
0,10098,angular,project management ,cloud computing solutions ,genetic algorithms,5,8,4,9,9786,qualitative research skills,database administration,python,swift,10,31,12,0
1,10005,python,electrical engineering,perl,r,9,1,3,0,10004,database design,xml,ui design,github,11,7,36,0
1,10005,python,electrical engineering,perl,r,9,1,3,1,10004,application development ,cad,statistical analysis,linux,40,2,40,0
1,10005,python,electrical engineering,perl,r,9,1,3,2,10098,agile development,express,cam,electrical engineering,12,15,19,0
1,10005,python,electrical engineering,perl,r,9,1,3,3,9785,hardware engineering,ui design,sdn,mongodb,26,40,18,0
1,10005,python,electrical engineering,perl,r,9,1,3,4,10005,application development ,rest,ui design,sql server,34,36,33,1
1,10005,python,electrical engineering,perl,r,9,1,3,5,10098,wordpress,kotlin,c,asp.net,37,13,16,0
1,10005,python,electrical engineering,perl,r,9,1,3,6,9786,linear algebra,matlab,application development ,asp.net,40,23,26,0
1,10005,python,electrical engineering,perl,r,9,1,3,7,9786,javascript,linear algebra,saas,perl,10,14,24,0
1,10005,python,electrical engineering,perl,r,9,1,3,8,10005,community engagement ,android studio,ui design,wordpress,37,26,32,0
1,10005,python,electrical engineering,perl,r,9,1,3,9,9786,qualitative research skills,database administration,python,swift,10,31,12,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,0,10004,database design,xml,ui design,github,11,7,36,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,1,10004,application development ,cad,statistical analysis,linux,40,2,40,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,2,10098,agile development,express,cam,electrical engineering,12,15,19,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,3,9785,hardware engineering,ui design,sdn,mongodb,26,40,18,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,4,10005,application development ,rest,ui design,sql server,34,36,33,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,5,10098,wordpress,kotlin,c,asp.net,37,13,16,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,6,9786,linear algebra,matlab,application development ,asp.net,40,23,26,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,7,9786,javascript,linear algebra,saas,perl,10,14,24,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,8,10005,community engagement ,android studio,ui design,wordpress,37,26,32,0
2,9786,cad,genetic algorithms,linux,cloud computing solutions ,10,9,3,9,9786,qualitative research skills,database administration,python,swift,10,31,12,1
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,0,10004,database design,xml,ui design,github,11,7,36,0
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,1,10004,application development ,cad,statistical analysis,linux,40,2,40,0
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,2,10098,agile development,express,cam,electrical engineering,12,15,19,0
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,3,9785,hardware engineering,ui design,sdn,mongodb,26,40,18,0
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,4,10005,application development ,rest,ui design,sql server,34,36,33,0
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,5,10098,wordpress,kotlin,c,asp.net,37,13,16,0
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,6,9786,linear algebra,matlab,application development ,asp.net,40,23,26,0
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,7,9786,javascript,linear algebra,saas,perl,10,14,24,1
3,11522,opensource concepts,neural networks,kotlin,python,5,7,0,8,10005,community engagement ,android studio,ui design,wordpress,37,26,32,0
