GroupNumber,GroupUnit,GroupSkill1,GroupSkill2,GroupSkill3,GroupSkill4,GroupPreference1,GroupPreference2,GroupPreference3,ProjectNumber,ProjectUnit,ProjectSkill1,ProjectSkill2,ProjectSkill3,ProjectSkill4,ProjectPreference1,ProjectPreference2,ProjectPreference3,Allocated
0,10098,140,155,105,150,5,8,4,0,10004,120,101,129,113,11,7,36,0
0,10098,140,155,105,150,5,8,4,1,10004,154,126,123,109,40,2,40,0
0,10098,140,155,105,150,5,8,4,2,10098,152,135,127,124,12,15,19,0
0,10098,140,155,105,150,5,8,4,3,9785,125,129,107,137,26,40,18,0
0,10098,140,155,105,150,5,8,4,4,10005,154,130,129,100,34,36,33,0
0,10098,140,155,105,150,5,8,4,5,10098,118,148,144,147,37,13,16,1
0,10098,140,155,105,150,5,8,4,6,9786,158,159,154,147,40,23,26,0
0,10098,140,155,105,150,5,8,4,7,9786,133,158,108,111,10,14,24,0
0,10098,140,155,105,150,5,8,4,8,10005,116,141,129,118,37,26,32,0
0,10098,140,155,105,150,5,8,4,9,9786,153,121,110,142,10,31,12,0
1,10005,110,124,111,122,9,1,3,0,10004,120,101,129,113,11,7,36,0
1,10005,110,124,111,122,9,1,3,1,10004,154,126,123,109,40,2,40,0
1,10005,110,124,111,122,9,1,3,2,10098,152,135,127,124,12,15,19,0
1,10005,110,124,111,122,9,1,3,3,9785,125,129,107,137,26,40,18,0
1,10005,110,124,111,122,9,1,3,4,10005,154,130,129,100,34,36,33,1
1,10005,110,124,111,122,9,1,3,5,10098,118,148,144,147,37,13,16,0
1,10005,110,124,111,122,9,1,3,6,9786,158,159,154,147,40,23,26,0
1,10005,110,124,111,122,9,1,3,7,9786,133,158,108,111,10,14,24,0
1,10005,110,124,111,122,9,1,3,8,10005,116,141,129,118,37,26,32,0
1,10005,110,124,111,122,9,1,3,9,9786,153,121,110,142,10,31,12,0
2,9786,126,150,109,105,10,9,3,0,10004,120,101,129,113,11,7,36,0
2,9786,126,150,109,105,10,9,3,1,10004,154,126,123,109,40,2,40,0
2,9786,126,150,109,105,10,9,3,2,10098,152,135,127,124,12,15,19,0
2,9786,126,150,109,105,10,9,3,3,9785,125,129,107,137,26,40,18,0
2,9786,126,150,109,105,10,9,3,4,10005,154,130,129,100,34,36,33,0
